,PassengerId,Survived,Pclass,Sex,Age,Ticket
0,892,0,3,male,34.5,330911
1,893,1,3,female,47.0,363272
2,894,0,2,male,62.0,240276
3,895,0,3,male,27.0,315154
4,896,1,3,female,22.0,3101298
5,897,0,3,male,14.0,7538
6,898,1,3,female,30.0,330972
7,899,0,2,male,26.0,248738
8,900,1,3,female,18.0,2657
9,901,0,3,male,21.0,A/4 48871
10,902,0,3,male,,349220
11,903,0,1,male,46.0,694
12,904,1,1,female,23.0,21228
13,905,0,2,male,63.0,24065
14,906,1,1,female,47.0,W.E.P. 5734
15,907,1,2,female,24.0,SC/PARIS 2167
16,908,0,2,male,35.0,233734
17,909,0,3,male,21.0,2692
18,910,1,3,female,27.0,STON/O2. 3101270
19,911,1,3,female,45.0,2696
20,912,0,1,male,55.0,PC 17603
21,913,0,3,male,9.0,C 17368
22,914,1,1,female,,PC 17598
23,915,0,1,male,21.0,PC 17597
24,916,1,1,female,48.0,PC 17608
25,917,0,3,male,50.0,A/5. 3337
26,918,1,1,female,22.0,113509
27,919,0,3,male,22.5,2698
28,920,0,1,male,41.0,113054
29,921,0,3,male,,2662
30,922,0,2,male,50.0,SC/AH 3085
31,923,0,2,male,24.0,C.A. 31029
32,924,1,3,female,33.0,C.A. 2315
33,925,1,3,female,,W./C. 6607
34,926,0,1,male,30.0,13236
35,927,0,3,male,18.5,2682
36,928,1,3,female,,342712
37,929,1,3,female,21.0,315087
38,930,0,3,male,25.0,345768
39,931,0,3,male,,1601
40,932,0,3,male,39.0,349256
41,933,0,1,male,,113778
42,934,0,3,male,41.0,SOTON/O.Q. 3101263
43,935,1,2,female,30.0,237249
44,936,1,1,female,45.0,11753
45,937,0,3,male,25.0,STON/O 2. 3101291
46,938,0,1,male,45.0,PC 17594
47,939,0,3,male,,370374
48,940,1,1,female,60.0,11813
49,941,1,3,female,36.0,C.A. 37671
50,942,0,1,male,24.0,13695
51,943,0,2,male,27.0,SC/PARIS 2168
52,944,1,2,female,20.0,29105
53,945,1,1,female,28.0,19950
54,946,0,2,male,,SC/A.3 2861
55,947,0,3,male,10.0,382652
56,948,0,3,male,35.0,349230
57,949,0,3,male,25.0,348122
58,950,0,3,male,,386525
59,951,1,1,female,36.0,PC 17608
60,952,0,3,male,17.0,349232
61,953,0,2,male,32.0,237216
62,954,0,3,male,18.0,347090
63,955,1,3,female,22.0,334914
64,956,0,1,male,13.0,PC 17608
65,957,1,2,female,,F.C.C. 13534
66,958,1,3,female,18.0,330963
67,959,0,1,male,47.0,113796
68,960,0,1,male,31.0,2543
69,961,1,1,female,60.0,19950
70,962,1,3,female,24.0,382653
71,963,0,3,male,21.0,349211
72,964,1,3,female,29.0,3101297
73,965,0,1,male,28.5,PC 17562
74,966,1,1,female,35.0,113503
75,967,0,1,male,32.5,113503
76,968,0,3,male,,359306
77,969,1,1,female,55.0,11770
78,970,0,2,male,30.0,248744
79,971,1,3,female,24.0,368702
80,972,0,3,male,6.0,2678
81,973,0,1,male,67.0,PC 17483
82,974,0,1,male,49.0,19924
83,975,0,3,male,,349238
84,976,0,2,male,,240261
85,977,0,3,male,,2660
86,978,1,3,female,27.0,330844
87,979,1,3,female,18.0,A/4 31416
88,980,1,3,female,,364856
89,981,0,2,male,2.0,29103
90,982,1,3,female,22.0,347072
91,983,0,3,male,,345498
92,984,1,1,female,27.0,F.C. 12750
93,985,0,3,male,,376563
94,986,0,1,male,25.0,13905
95,987,0,3,male,25.0,350033
96,988,1,1,female,76.0,19877
97,989,0,3,male,29.0,STON/O 2. 3101268
98,990,1,3,female,20.0,347471
99,991,0,3,male,33.0,A./5. 3338
100,992,1,1,female,43.0,11778
101,993,0,2,male,27.0,228414
102,994,0,3,male,,365235
103,995,0,3,male,26.0,347070
104,996,1,3,female,16.0,2625
105,997,0,3,male,28.0,C 4001
106,998,0,3,male,21.0,330920
107,999,0,3,male,,383162
108,1000,0,3,male,,3410
109,1001,0,2,male,18.5,248734
110,1002,0,2,male,41.0,237734
111,1003,1,3,female,,330968
112,1004,1,1,female,36.0,PC 17531
