,PassengerId,Name,SibSp,Parch,Fare,Cabin,Embarked
0,892,"Kelly, Mr. James",0,0,7.8292,,Q
1,893,"Wilkes, Mrs. James (Ellen Needs)",1,0,7.0,,S
2,894,"Myles, Mr. Thomas Francis",0,0,9.6875,,Q
3,895,"Wirz, Mr. Albert",0,0,8.6625,,S
4,896,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",1,1,12.2875,,S
5,897,"Svensson, Mr. Johan Cervin",0,0,9.225,,S
6,898,"Connolly, Miss. Kate",0,0,7.6292,,Q
7,899,"Caldwell, Mr. Albert Francis",1,1,29.0,,S
8,900,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",0,0,7.2292,,C
9,901,"Davies, Mr. John Samuel",2,0,24.15,,S
10,902,"Ilieff, Mr. Ylio",0,0,7.8958,,S
11,903,"Jones, Mr. Charles Cresson",0,0,26.0,,S
12,904,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",1,0,82.2667,B45,S
13,905,"Howard, Mr. Benjamin",1,0,26.0,,S
14,906,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1,0,61.175,E31,S
15,907,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1,0,27.7208,,C
16,908,"Keane, Mr. Daniel",0,0,12.35,,Q
17,909,"Assaf, Mr. Gerios",0,0,7.225,,C
18,910,"Ilmakangas, Miss. Ida Livija",1,0,7.925,,S
19,911,"Assaf Khalil, Mrs. Mariana (Miriam"")""",0,0,7.225,,C
20,912,"Rothschild, Mr. Martin",1,0,59.4,,C
21,913,"Olsen, Master. Artur Karl",0,1,3.1708,,S
22,914,"Flegenheim, Mrs. Alfred (Antoinette)",0,0,31.6833,,S
23,915,"Williams, Mr. Richard Norris II",0,1,61.3792,,C
24,916,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",1,3,262.375,B57 B59 B63 B66,C
25,917,"Robins, Mr. Alexander A",1,0,14.5,,S
26,918,"Ostby, Miss. Helene Ragnhild",0,1,61.9792,B36,C
27,919,"Daher, Mr. Shedid",0,0,7.225,,C
28,920,"Brady, Mr. John Bertram",0,0,30.5,A21,S
29,921,"Samaan, Mr. Elias",2,0,21.6792,,C
30,922,"Louch, Mr. Charles Alexander",1,0,26.0,,S
31,923,"Jefferys, Mr. Clifford Thomas",2,0,31.5,,S
32,924,"Dean, Mrs. Bertram (Eva Georgetta Light)",1,2,20.575,,S
33,925,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",1,2,23.45,,S
34,926,"Mock, Mr. Philipp Edmund",1,0,57.75,C78,C
35,927,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",0,0,7.2292,,C
36,928,"Roth, Miss. Sarah A",0,0,8.05,,S
37,929,"Cacic, Miss. Manda",0,0,8.6625,,S
38,930,"Sap, Mr. Julius",0,0,9.5,,S
39,931,"Hee, Mr. Ling",0,0,56.4958,,S
40,932,"Karun, Mr. Franz",0,1,13.4167,,C
41,933,"Franklin, Mr. Thomas Parham",0,0,26.55,D34,S
42,934,"Goldsmith, Mr. Nathan",0,0,7.85,,S
43,935,"Corbett, Mrs. Walter H (Irene Colvin)",0,0,13.0,,S
44,936,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1,0,52.5542,D19,S
45,937,"Peltomaki, Mr. Nikolai Johannes",0,0,7.925,,S
46,938,"Chevre, Mr. Paul Romaine",0,0,29.7,A9,C
47,939,"Shaughnessy, Mr. Patrick",0,0,7.75,,Q
48,940,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",0,0,76.2917,D15,C
49,941,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",0,2,15.9,,S
50,942,"Smith, Mr. Lucien Philip",1,0,60.0,C31,S
51,943,"Pulbaum, Mr. Franz",0,0,15.0333,,C
52,944,"Hocking, Miss. Ellen Nellie""""",2,1,23.0,,S
53,945,"Fortune, Miss. Ethel Flora",3,2,263.0,C23 C25 C27,S
54,946,"Mangiavacchi, Mr. Serafino Emilio",0,0,15.5792,,C
55,947,"Rice, Master. Albert",4,1,29.125,,Q
56,948,"Cor, Mr. Bartol",0,0,7.8958,,S
57,949,"Abelseth, Mr. Olaus Jorgensen",0,0,7.65,F G63,S
58,950,"Davison, Mr. Thomas Henry",1,0,16.1,,S
59,951,"Chaudanson, Miss. Victorine",0,0,262.375,B61,C
60,952,"Dika, Mr. Mirko",0,0,7.8958,,S
61,953,"McCrae, Mr. Arthur Gordon",0,0,13.5,,S
62,954,"Bjorklund, Mr. Ernst Herbert",0,0,7.75,,S
63,955,"Bradley, Miss. Bridget Delia",0,0,7.725,,Q
64,956,"Ryerson, Master. John Borie",2,2,262.375,B57 B59 B63 B66,C
65,957,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",0,0,21.0,,S
66,958,"Burns, Miss. Mary Delia",0,0,7.8792,,Q
67,959,"Moore, Mr. Clarence Bloomfield",0,0,42.4,,S
68,960,"Tucker, Mr. Gilbert Milligan Jr",0,0,28.5375,C53,C
69,961,"Fortune, Mrs. Mark (Mary McDougald)",1,4,263.0,C23 C25 C27,S
70,962,"Mulvihill, Miss. Bertha E",0,0,7.75,,Q
71,963,"Minkoff, Mr. Lazar",0,0,7.8958,,S
72,964,"Nieminen, Miss. Manta Josefina",0,0,7.925,,S
73,965,"Ovies y Rodriguez, Mr. Servando",0,0,27.7208,D43,C
74,966,"Geiger, Miss. Amalie",0,0,211.5,C130,C
75,967,"Keeping, Mr. Edwin",0,0,211.5,C132,C
76,968,"Miles, Mr. Frank",0,0,8.05,,S
77,969,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",2,0,25.7,C101,S
